X [ m ], Y [ m ], Z [ m ], Area [ m^2 ], AREA_STRETCH, THICKNESS [ m ], THICKNESS DES [ m ], THICKNESS INI [ m ], THICKNESS NEW [ m ], THICKNESS PRF [ m ], Volume [ m^3 ]
-1.87782080e-05, 2.63358932e-03, 1.04436548e-02, 6.39392692e-06, 9.37032044e-01, 1.71783182e-03, 1.50000001e-03, 1.64977252e-03, 1.51475030e-03, 1.46322930e-03, 0.00000000e+00
3.87785876e-05, 8.70871590e-05, 1.04428753e-02, 6.74541752e-06, 9.81982887e-01, 1.65253016e-03, 1.50000001e-03, 1.64977252e-03, 1.51475030e-03, 1.51272747e-03, 0.00000000e+00
3.40696206e-05, -2.47065350e-03, 1.04551315e-02, 6.45783166e-06, 9.43293214e-01, 1.71106786e-03, 1.50000001e-03, 1.64977252e-03, 1.51475030e-03, 1.46827393e-03, 0.00000000e+00
1.65021720e-05, -4.78936173e-03, 1.04798172e-02, 5.55192992e-06, 8.14316809e-01, 1.97991356e-03, 1.50000001e-03, 1.64977252e-03, 1.51475030e-03, 1.30240398e-03, 0.00000000e+00
1.20817247e-04, -6.64315466e-03, 1.05137452e-02, 4.10370058e-06, 6.04476631e-01, 2.84006633e-03, 1.50000001e-03, 1.64977252e-03, 1.51475030e-03, 9.92885092e-04, 0.00000000e+00
1.21793884e-04, -7.85401464e-03, 1.05516445e-02, 2.26477800e-06, 3.45946640e-01, 6.79547712e-03, 1.50000001e-03, 1.64977252e-03, 1.51475030e-03, 5.94148762e-04, 0.00000000e+00
-3.37421989e-06, -8.31293687e-03, 1.05917277e-02, 1.19636297e-06, 8.36099163e-02, 1.08144619e-02, 1.50000001e-03, 1.64977252e-03, 1.51475030e-03, 3.71869130e-04, 0.00000000e+00
-7.90823542e-05, -7.90906418e-03, 1.33289853e-02, 2.14190914e-06, 3.44941497e-01, 7.83544406e-03, 1.50000001e-03, 1.64985890e-03, 1.51484367e-03, 5.59079868e-04, 0.00000000e+00
-2.59008157e-05, -7.92563707e-03, 1.60433445e-02, 2.12212422e-06, 2.74145663e-01, 7.90161267e-03, 1.50000001e-03, 1.59215799e-03, 1.45771692e-03, 5.43616246e-04, 0.00000000e+00
-2.37759268e-05, -7.92988483e-03, 1.87973175e-02, 4.53917892e-06, 5.20616055e-01, 4.98466380e-03, 1.50000001e-03, 2.39178888e-03, 2.35310220e-03, 1.45975465e-03, 0.00000000e+00
-3.82485730e-03, -1.07458513e-02, 2.06785947e-02, 1.51256290e-05, 2.45794463e+00, 1.91932498e-03, 1.50000001e-03, 3.67908250e-03, 3.71011114e-03, 3.02860700e-03, 0.00000000e+00
-4.58956277e-03, -1.36121307e-02, 2.33439114e-02, 1.61761964e-05, 2.28720593e+00, 1.93483219e-03, 1.50000001e-03, 4.25161840e-03, 4.06547450e-03, 3.42533994e-03, 0.00000000e+00
-4.46616579e-03, -1.43040018e-02, 2.61636302e-02, 1.46847515e-05, 1.94699538e+00, 1.86662958e-03, 1.50000001e-03, 3.82432202e-03, 3.75023787e-03, 3.15638562e-03, 0.00000000e+00
-4.31102421e-03, -1.42835267e-02, 2.91752294e-02, 1.46820930e-05, 2.07379246e+00, 1.47884514e-03, 1.50000001e-03, 3.04609654e-03, 3.28887906e-03, 3.08401836e-03, 0.00000000e+00
-4.30812594e-03, -1.42309312e-02, 3.22605968e-02, 1.41360015e-05, 1.97954726e+00, 1.42102083e-03, 1.50000001e-03, 2.79514561e-03, 2.98535638e-03, 2.93685379e-03, 0.00000000e+00
-4.39589703e-03, -1.42141990e-02, 3.51646207e-02, 1.32576142e-05, 1.87329853e+00, 1.47517992e-03, 1.50000001e-03, 2.74318783e-03, 2.81809364e-03, 2.78563681e-03, 0.00000000e+00
-4.48614778e-03, -1.42194107e-02, 3.79203893e-02, 1.27433168e-05, 1.82963121e+00, 1.51187030e-03, 1.50000001e-03, 2.73323106e-03, 2.72877980e-03, 2.71405233e-03, 0.00000000e+00
